# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default channel group)
# Account: Beite.co
# Property: Privacy Trust
# ----------------------------------------
# 
# All Users
# Start date: 20220413
# End date: 20260510
Session primary channel group (Default channel group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Direct,5109,1789,0.35016637306713644,27.845566647093364,8.402035623409668,42926,272,0.03777647289097671,0
Organic Search,2674,1446,0.5407629020194465,37.72999252056844,6.19109947643979,16555,106,0.02281226626776365,0
Referral,483,273,0.5652173913043478,53.72256728778468,10.70807453416149,5172,20,0.031055900621118012,0
Unassigned,131,9,0.06870229007633588,14.946564885496183,3.6793893129770994,482,5,0.022900763358778626,0
Paid Search,128,48,0.375,65.703125,4.6484375,595,0,0,0
Organic Social,116,79,0.6810344827586207,57.275862068965516,11.629310344827585,1349,0,0,0
Display,55,7,0.12727272727272726,0.05454545454545454,3.7818181818181817,208,0,0,0
